horizon_td,n,r2_A,adjr2_A,r2_B,adjr2_B,r2_C,adjr2_C,incr_F,incr_F_p,hac_wald,hac_wald_df,hac_wald_p,oos_r2_A,oos_r2_B,oos_r2_C
5,2786,0.5314140359362285,0.531245722012355,0.5952184460876154,0.5941984781691897,0.5772724946766687,0.5763598048486946,72.98119594275398,9.134102088495344e-85,73.2734010161437,6,8.69726512170817e-14,0.5208412968886194,0.5752804796336228,0.5618169001904778
10,2781,0.49201809972389055,0.49183530666873543,0.5497414341088505,0.5486048275595399,0.5362337653042346,0.5352306660222683,59.249957829856584,2.924799778940703e-69,32.027678267799345,6,1.6119456652975144e-05,0.46648507367799374,0.4989498443204947,0.49243399324691606
20,2771,0.3674500965595606,0.36722165672444307,0.40748276637097613,0.4059816369336243,0.398158004178078,0.39685154543172074,31.113094104025812,2.3254516623477138e-36,22.35071185765348,6,0.0010458219945410619,0.34679432462420823,0.3407199876575061,0.33616504205223874
30,2761,0.282864056168622,0.2826041301288136,0.31498302246431853,0.3132412430081799,0.30782777654275995,0.306319776055925,21.513703823359275,7.955559332389996e-25,19.20567600660176,6,0.003830017488597907,0.27049023508400205,0.23857330312457692,0.2398905682022192
60,2731,0.15795081120464816,0.15764225525419173,0.18524159292650955,0.18314709830678333,0.18225718346976527,0.18045598783864136,15.20139753156003,3.366436067571985e-17,22.641939689162445,6,0.0009257133462172242,0.1647033841140163,0.10476516199567165,0.12121887388215713
