target,horizon,n,r2,adj_r2,wald_p,t_atm_iv,t_rr25,t_bf25,t_curvature,t_slope,t_ts_slope,t_calib_rmse
logret,5,2924,0.01997859950934666,0.017626010413518522,0.01910050554863518,2.6440900220845265,1.5773001792994532,0.7748966995643473,1.4235118535101956,-1.1113100753456786,1.2385522682727745,-0.9696651823182901
logret,10,2919,0.04201678985137103,0.0397131545126419,0.00011277208629610914,2.774568781492956,1.523342850890975,0.8918533822103393,2.1557030455534094,-1.0389300830076786,1.1001046235569896,-2.0142372241913242
logret,20,2909,0.07819578448879672,0.07597150682296472,4.415720272259096e-07,2.6612247816941905,1.0985891802433603,-0.22330006924894719,1.1689186778015654,-1.0599951431839534,1.5284525590130862,-0.02034629372499233
logret,30,2899,0.10583167607438271,0.10366661959998658,1.4767052888069674e-08,2.694135837769129,0.6329108552164063,-0.028061879606797485,1.4858782948765898,-0.6343942710548458,1.6157294714460526,0.5188790917724919
logret,60,2869,0.1900223907995212,0.18804062104614705,1.1935275074910211e-15,3.1885750717468646,0.6891348673936454,0.0741664939280339,1.5424106737159604,-0.3811386006366493,1.9155834400562046,0.23383554033093565
excess,5,2924,0.01997859950934633,0.01762601041351819,0.019100505548635828,2.6440900220845145,1.5773001792994503,0.7748966995643445,1.4235118535102056,-1.111310075345683,1.2385522682727754,-0.9696651823182911
excess,10,2919,0.04201678985137103,0.0397131545126419,0.00011277208629610069,2.774568781492963,1.5233428508909759,0.8918533822103402,2.1557030455534143,-1.038930083007679,1.10010462355699,-2.014237224191326
excess,20,2909,0.07819578448879683,0.07597150682296494,4.415720272258796e-07,2.6612247816942047,1.098589180243373,-0.22330006924893822,1.16891867780157,-1.05999514318395,1.5284525590130893,-0.020346293724993143
excess,30,2899,0.10583167607438271,0.10366661959998658,1.476705288807003e-08,2.694135837769137,0.6329108552164148,-0.02806187960678809,1.4858782948765994,-0.6343942710548462,1.6157294714460562,0.5188790917724942
excess,60,2869,0.1900223907995211,0.18804062104614705,1.1935275074911168e-15,3.1885750717468757,0.6891348673936541,0.07416649392803955,1.5424106737159526,-0.3811386006366445,1.9155834400561902,0.23383554033093298
downside,5,2924,0.05411612148991718,0.05184548117799315,0.004990293560293888,0.28260544837953494,1.262156482721451,0.16972851663328628,1.6653021745823047,-0.3529313518211124,2.120369628159095,-1.2399406729542237
downside,10,2919,0.037158547056110214,0.03484322923728256,0.05969059081285598,0.8379393026328348,0.858902422952904,-0.0030616297630795012,2.199604633086296,-0.17533137989117084,1.7330981060975417,-1.9001629206920776
downside,20,2909,0.017454379730679426,0.01508353542117058,0.24812590395735762,0.8703045460312342,0.28891753988033386,-0.6193746997821601,1.5077371972312925,-0.3812811626174787,1.7366095910236234,-0.09943445355307065
downside,30,2899,0.021642190642489623,0.019273285535086337,0.1725308414325591,1.033789751057252,-0.08161417460672389,-0.39747153347004516,1.6479547209932208,-0.10585607338232428,1.881245509824381,0.35412213133204196
downside,60,2869,0.020126339665533566,0.017728885760486035,0.18434035545401964,1.1517635784677691,0.17577817460571918,0.19071533481150782,1.2715575262880192,0.19361699699622914,0.7663375267067051,-0.13123480146666872
drawdown,5,2924,0.22538862029456586,0.22352912795645274,1.4486455326435125e-15,-1.3682678382643283,1.5508742477473842,-0.4791576949088143,0.5160576169215478,0.77103884944382,3.430395261363209,-1.4259763119172166
drawdown,10,2919,0.21946102647201704,0.21758408630894732,4.2733628431815946e-10,-0.8394400110727148,1.1040760848107187,-0.4062442052478676,1.044272026893633,0.06386293705066774,2.515398016522233,-1.4473561508528205
drawdown,20,2909,0.1344031403653616,0.13231448885986608,2.446279642542073e-06,-0.32719223881515935,0.7130135146306678,-1.1278948792192691,1.216189779487745,-0.061790432126796864,1.7875231715518671,-0.7057686825282723
drawdown,30,2899,0.08727940781138377,0.08506943059058802,0.0010545780464976656,-0.15375410898451336,0.46569790497276947,-0.9944575340503287,1.171335839862929,0.44512668721276843,1.396888038390279,-0.4493728593393017
drawdown,60,2869,0.03422902455244459,0.03186607564362509,0.02569913360418838,0.09970976834637778,0.43798257437829324,-0.575956515129505,0.43359641641614155,0.6055605320780924,1.029239502242854,-1.3291058256277999
